Category,Step / Name,Description,Trigger / Condition,Outcome / Effect,Source
Process Step,1. Actor requests an action,"A role (e.g. the AI Orchestrator) requests to view, edit, approve, or execute something.",,,abacEvaluator.ts: evaluateAbacPolicy()
Process Step,2. ABAC policy evaluation,Rule matching is first-match-wins in file order; an unrecognized role/resource/action combination fails closed.,Every request,allow / deny / require_approval,"abacPolicy.ts, abacEvaluator.ts"
Process Step,3a. Denied,No further action; the request is refused.,"Effect = deny (default effect, or an explicit deny rule)",Denied,"abacPolicy.ts: defaultEffect=""deny"""
Process Step,3b. System may proceed,The request is allowed outright with no human step required.,Effect = allow,Allowed,abacPolicy.ts
Process Step,3c. HITL queue: enqueue(),The item is queued and the primary approver is notified.,Effect = require_approval (today: AI Orchestrator requesting execution of a live remediation),"Queued, status: pending",hitlQueue.ts: enqueue()
Process Step,4. Decision within 15-minute window?,The queue checks whether the primary approver decided before the window elapsed.,Checked before any read/decide on a pending item,yes / no (timed out),hitlQueue.ts: checkForTimeout()
Process Step,5a. Escalate to backup approver,The item's active approver changes to the named backup; the decision window resets.,No decision within the window,status: escalated,hitlQueue.ts: checkForTimeout()
Process Step,5b. Assigned approver decides,"The current active approver (primary, or backup after an escalation) approves, rejects, or requests more info. Requires their identity to match and MFA to be present on the session.",Item is pending or escalated,"approved / rejected / needs_info, or rejected as Unauthorized/MfaRequired",hitlQueue.ts: decide()
Process Step,6. Recorded approval (status: approved),A human decision is now on record for this item.,decide() outcome = approve,Approved,"hitlQueue.ts, auditLog.ts"
Process Step,7. ABAC re-check: Execution Service may execute,"The Execution Service (a system actor, never a human) re-requests to execute; ABAC only allows this with an explicit recorded approval in context.","context: actorType=system, approved=true",allow,abacPolicy.ts: system-executes-after-recorded-approval
Process Step,8. checkRemediationGuardrail(),"The deeper, content-level gate: confirms the action is evidence-linked, actually approved (not just present), of an allowed reversible type, and approved specifically if the target is production-write-protected.",Immediately before execution,allowed / blocked (with named violations),remediationGuardrail.ts
Process Step,9a. Executed,The remediation action actually runs.,Both ABAC and the remediation guardrail agree,Executed,"remediationGuardrail.ts, auditLog.ts"
Process Step,9b. Blocked,"Nothing executes; the specific violations are recorded, not a generic denial.",Any guardrail violation (NOT_EVIDENCE_LINKED / NOT_HUMAN_APPROVED / ACTION_TYPE_NOT_ALLOWED / PRODUCTION_WRITE_REQUIRES_APPROVAL),Blocked,remediationGuardrail.ts
Role,Engineer,View full technical incident detail; edit the Service Dependency Map.,,,"abacPolicy.ts: engineer-view-technical-detail, engineer-edit-dependency-map"
Role,Executive,View the plain-English incident summary only — explicitly denied raw technical detail.,,,"abacPolicy.ts: executive-view-summary, executive-cannot-view-technical-detail"
Role,Approver (primary),Views a draft remediation; is the sole authorized decider on a HITL item until the decision window elapses.,,,"hitlQueue.ts: activeApprover, decide()"
Role,Approver (backup),Becomes the active approver only after the primary's 15-minute decision window times out.,,,hitlQueue.ts: checkForTimeout()
Role,Auditor,Read-only access to the audit log — nothing else.,,,abacPolicy.ts: auditor-view-audit-log
Role,AI Orchestrator,May request execution of a diagnosed remediation — never execute directly; always requires a recorded human approval first.,,,abacPolicy.ts: orchestrator-request-execution-requires-approval
Role,Execution Service,"The only actor that may actually execute — and only after a recorded approval, re-checked by ABAC and then by the content-level guardrail.",,,abacPolicy.ts: system-executes-after-recorded-approval; remediationGuardrail.ts
Escalation Criterion,Risk level requires approval,"Some actions are high-risk by nature — the policy routes them to a human before anything happens, rather than trusting the AI's own confidence score alone.",effect: require_approval,Routed to HITL queue,"abacPolicy.ts, abacEvaluator.ts"
Escalation Criterion,Decision window elapses,A pending approval that nobody answers is a silent failure mode. Auto-escalating to a named backup approver guarantees someone is always accountable for a timely decision.,15 minutes (default) with no decision,"Escalated to backup approver, window resets",hitlQueue.ts: checkForTimeout()
Escalation Criterion,Decider is not the assigned approver,Prevents a human other than the one actually notified and responsible from short-circuiting an approval.,decide() called by someone other than activeApprover,"Rejected and logged (hitl_decision_rejected), UnauthorizedDeciderError",hitlQueue.ts: decide()
Escalation Criterion,Decision made without MFA,A high-risk approval is exactly the kind of action a compromised session must not be able to approve.,decide() called with mfa=false,"Rejected and logged (hitl_decision_rejected), MfaRequiredError",hitlQueue.ts: decide()
