2026-08-24 08:11:58.21 spid52    Starting up database 'OpsWarehouse'.
2026-08-24 08:12:00.04 spid52    Recovery is writing a checkpoint in database 'OpsWarehouse' (7).
2026-08-24 08:12:00.55 spid52    Database 'OpsWarehouse' running the upgrade step from version 904 to version 905.
2026-08-24 08:12:01.10 Server    CoreOps SQL Server error log ready.
2026-08-24 08:41:17.83 spid61    Error: 1205, Severity: 13, State: 51.
2026-08-24 08:41:17.83 spid61    Transaction (Process ID 61) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.
2026-08-24 08:41:17.90 spid61    Statement: UPDATE OpsWarehouse.dbo.Sessions SET status = 'suspended' WHERE session_id = 61
2026-08-24 09:02:33.41 spid77    A significant part of sql server process memory has been paged out. This may result in a performance degradation.
2026-08-24 09:02:33.41 spid77    Working set (KB): 412884, committed (KB): 981200, memory utilization: 42%%.
2026-08-24 09:14:02.06 spid52    Error: 9002, Severity: 17, State: 4.
2026-08-24 09:14:02.06 spid52    The transaction log for database 'StagingETL' is full due to 'ACTIVE_TRANSACTION'.
2026-08-24 09:14:05.19 spid52    Log was backed up for database 'StagingETL'. Transaction log space has been freed.
2026-08-24 09:41:50.72 spid84    Error: 1205, Severity: 13, State: 45.
2026-08-24 09:41:50.72 spid84    Transaction (Process ID 84) was deadlocked on lock | thread resources with another process (Process ID 71) and has been chosen as the deadlock victim.
2026-08-24 09:41:50.80 spid84    Statement: UPDATE OpsWarehouse.dbo.Orders SET fulfilled = 1 WHERE order_id IN (SELECT order_id FROM OpsWarehouse.dbo.PendingOrders)
2026-08-24 10:00:00.00 spid52    This instance of SQL Server has been using a process ID of 4821 since 2026-08-24 08:11:58.
