"Section","Subsection","Content"
"Overview","What this document is","CoreOps watches SQL Server, SSIS, SSRS, and Windows Server infrastructure, uses AI to explain what went wrong and recommend fixes, and -- after a human approves -- can safely act on that recommendation. Every one of those steps depends on something outside CoreOps's own control: a database that might be slow, an AI service that might be briefly unavailable, a server that might not respond right away. The reliability layer is the set of protections that stop those everyday hiccups from turning into bigger problems -- a stuck screen, a duplicated fix, or a missed incident. This document explains, in plain terms, the six protections CoreOps uses and why each one exists."
"1. Timeouts","The problem it solves","Sometimes a request to another system -- a database query, a call to the AI -- takes much longer than normal, or never comes back at all. Without a limit, CoreOps would sit there waiting indefinitely, holding up everything behind it."
"1. Timeouts","In plain terms","A timeout is a stopwatch. If a request hasn't come back by the time the stopwatch runs out, CoreOps stops waiting and treats it as a failure it can respond to -- instead of freezing."
"1. Timeouts","How it's implemented in CoreOps","Every outside call gets its own time limit, sized to what's reasonable for that kind of call: a database query gets a short limit (around 10 seconds); a call to the AI for reasoning gets a longer limit (around 30 seconds), since thinking through a problem legitimately takes more time than a simple lookup. No call in CoreOps is allowed to run with no limit at all."
"2. Capped Retries with Backoff","The problem it solves","Not every failure is serious. A database or an AI service might have one bad moment and be perfectly fine a second later. Giving up immediately on the first hiccup would make CoreOps unnecessarily fragile."
"2. Capped Retries with Backoff","In plain terms","If something fails, CoreOps tries again -- but not instantly, and not forever. It waits a little longer before each attempt (a pattern called ""backoff""), and it stops after a fixed number of tries rather than retrying endlessly."
"2. Capped Retries with Backoff","How it's implemented in CoreOps","Database queries: retried up to 3 times, waiting a little longer each time (starting around half a second, doubling each attempt, capped at 4 seconds). AI calls: retried up to 2 times, using the same waiting pattern -- fewer retries here because AI calls take longer and cost more to repeat than a quick database check. Not every failure is retried -- if a retry can't fix the problem, CoreOps reports the failure right away instead of wasting time."
"3. Circuit Breakers","The problem it solves","If a system CoreOps depends on is genuinely broken -- not just having one bad moment, but actually down -- retrying over and over just adds more pressure to something that's already struggling, and burns CoreOps's own time and resources on calls that are essentially guaranteed to fail."
"3. Circuit Breakers","In plain terms","Think of a household circuit breaker: after too many electrical faults in a short time, it trips and cuts power until someone resets it -- protecting the house from a bigger problem. CoreOps's circuit breaker works the same way: after several failures in a short window, it ""trips"" and stops sending new requests to that system for a cooldown period, failing fast and clearly instead of quietly hanging every time. After the cooldown, it carefully sends one test request; if that succeeds, normal traffic resumes, and if it doesn't, the cooldown starts again."
"3. Circuit Breakers","How it's implemented in CoreOps","Each outside connection (the database, each AI reasoning step) has its own circuit breaker. It trips after 5 failures within a 60-second window, then waits 30 seconds before cautiously testing whether the connection has recovered."
"4. Fallbacks","The problem it solves","When a protection above does trigger -- a timeout, an exhausted retry, a tripped circuit breaker -- the person using CoreOps still needs something useful on their screen, not a blank page or a cryptic error."
"4. Fallbacks","In plain terms","A fallback is CoreOps's ""plan B."" If the ideal outcome (a full AI explanation, freshly-queried data) isn't available right now, CoreOps shows the next-best thing instead of nothing at all."
"4. Fallbacks","How it's implemented in CoreOps","If the AI reasoning step is temporarily unavailable, an incident can still be shown with its raw telemetry and the automatic grouping that happens before any AI is involved -- so operators see a real, useful incident view, just without the AI's explanation layer, until it's back."
"5. Dead-Letter Handling","The problem it solves","Occasionally, something goes wrong with a single piece of data -- a malformed telemetry event, a message that doesn't match the expected shape -- and no amount of retrying will fix it, because the problem is with that specific item, not with the connection."
"5. Dead-Letter Handling","In plain terms","Rather than letting one bad item jam up everything behind it, or silently throwing it away, CoreOps sets it aside in a separate holding area -- a ""dead-letter"" queue -- with enough detail attached that someone can look into it later. Everything else keeps flowing normally."
"5. Dead-Letter Handling","How it's implemented in CoreOps","Telemetry events that can't be processed are routed to a separate holding area for manual review, instead of blocking the stream of every other server's telemetry behind them."
"6. Idempotency","The problem it solves","This is the most important protection for CoreOps's most sensitive capability: actually making a change on a monitored server (like restarting a stuck job), after a human has approved it. If the confirmation that an action succeeded gets lost or delayed, and the system retries the action, that retry must not repeat the real-world action a second time. Restarting an already-restarted job isn't harmless -- it can duplicate work or make things worse."
"6. Idempotency","In plain terms","""Idempotent"" means: doing something once, or doing it five times by accident, leads to exactly the same end result. CoreOps guarantees this by giving every approved action a unique tracking ID tied to that specific incident and that specific fix. Before running anything, it checks: ""have I already done this exact thing?"" If yes, it reports the original result and does nothing further. If no, it performs the action and records that it did -- so any later retry, for any reason, always finds the record and stops safely."
"6. Idempotency","How it's implemented in CoreOps","Every approved remediation is tracked by a combination of its incident and its specific fix. A retry of the same approved action, for any reason -- a network blip, a slow confirmation, anything -- always finds the existing record first and skips re-running the action, so the server only ever gets acted on once per approval."
"Why all six matter together","Timeouts protect against","Waiting forever on something that's hung"
"Why all six matter together","Capped retries with backoff protect against","Giving up too early on a brief, recoverable hiccup"
"Why all six matter together","Circuit breakers protect against","Repeatedly hammering something that's genuinely down"
"Why all six matter together","Fallbacks protect against","Showing nothing useful when the ideal path isn't available"
"Why all six matter together","Dead-letter handling protects against","One bad item silently blocking or losing everything behind it"
"Why all six matter together","Idempotency protects against","A safe retry accidentally repeating a real, consequential action"
"Why all six matter together","Closing summary","Together, these six protections mean CoreOps can depend on databases, AI services, and real servers -- all of which occasionally have bad moments -- without those bad moments turning into CoreOps itself becoming the incident it's supposed to be watching for."
