"Section","Title","Content"
"1. Introduction","What is sampling?","An MCP server is a small program that gives an AI assistant access to a specific system (in our example, a company's customer support ticket queue). Normally, the assistant asks the server to do things: log this ticket, show me open tickets. Sampling flips that around: it lets the server ask the assistant's underlying AI model to think about something and hand back an answer, mid-task, without the assistant having to be the one who thought to ask."
"1. Introduction","Analogy","Picture a filing clerk (the server) who handles your paperwork. Normally you tell the clerk what to file. Sampling is the clerk occasionally turning to you and saying, 'This one's a bit unusual, can you read it and tell me what to write back?' The clerk isn't allowed to make that judgment call alone; they hand it to you, get your answer, then continue filing."
"2. Why it matters","One AI connection, many servers","The server doesn't need its own separate AI subscription or API key. It borrows the one the person already has connected. Less to manage, less to pay for twice."
"2. Why it matters","A human stays in control","Before the server's request reaches the AI model, the connecting application can show the person what's being asked and let them approve or decline it. The server can't quietly generate content on its own."
"2. Why it matters","The company chooses the AI model, not the server","If the company switches AI providers or upgrades to a newer model, every server using sampling benefits automatically. Nothing in the server needs to change."
"2. Why it matters","Simple servers become genuinely helpful","Sampling lets a server draft or summarize text as part of its normal work, instead of only doing mechanical lookups."
"3. The example","Customer Support Assistant","A small MCP server for a customer support team. It knows how to: log_ticket (save a new support ticket - customer email, subject, message) and list_open_tickets (show tickets that haven't been closed yet). Today, when a new ticket comes in, a human agent has to read the whole thing and figure out urgency and a first reply themselves. That's the part sampling can help with."
"4. Step-by-step integration","Step 1 - Decide exactly where 'thinking' is needed","Before touching any code, write down in plain English what you want the AI to help with. Vague requests produce vague or wrong answers. Example: 'When a new ticket is logged, have the AI suggest an urgency level (Low/Medium/High) and draft a short first reply the human agent can edit before sending.' Two clear jobs, not 'handle the ticket' - that's too broad."
"4. Step-by-step integration","Step 2 - Confirm the AI's answer is a draft, never an automatic action","Decide up front whether the AI's output goes straight to the customer or a human reviews it first. Recommendation for this example: always draft-only, at least at first. The AI suggests urgency and drafts a reply; a human agent reviews and hits send. Nothing goes to a real customer without a person seeing it."
"4. Step-by-step integration","Step 3 - Add the sampling request to the ticket-logging tool","A developer implements this using ctx.session.create_message(...) inside the log_ticket tool function (see mcp_server_upgraded_example.py in this repo for the same verified pattern). Flow: (1) save the ticket the normal way, no AI involved; (2) send a SamplingMessage asking the connected AI to suggest urgency and draft a reply, including the instruction 'Only use facts from the message above - do not invent details'; (3) save the AI's response as a DRAFT attached to the ticket for a human agent to review, never sent automatically."
"4. Step-by-step integration","Step 4 - Decide what the AI is allowed to see","Only pass in what's actually needed: the ticket's subject and message. Don't pass in the customer's full account history, billing details, or other tickets unless that specific task genuinely needs them. This keeps the request narrow and avoids exposing more customer data than the task requires."
"4. Step-by-step integration","Step 5 - Test it before anyone relies on it","Log a handful of realistic test tickets - an easy one, a confusing one, an angry one - and read the AI's suggested urgency and draft reply for each. Check: does the urgency level make sense; does the draft only reference things the customer actually said; is the tone appropriate even when the test ticket is angry. If something looks wrong, fix Step 1 or Step 3 first, not by adding more code."
"4. Step-by-step integration","Step 6 - Roll it out gradually","Turn this on for a small number of tickets or one team first, watch draft quality for a week or two, then expand. Same reasoning as any new process change a team hasn't seen before."
"5. Common challenges","AI invents details","What it looks like: draft reply references something the customer never said. How to handle it: reinforce the 'only use facts provided' instruction; keep the message text tightly scoped to the actual ticket."
"5. Common challenges","Draft reply used verbatim, mistakes included","What it looks like: an agent gets busy and hits send without reading. How to handle it: make the review step a visible, required action in the agent's tool, not something skippable."
"5. Common challenges","Inconsistent tone","What it looks like: some drafts sound too casual or too stiff. How to handle it: add a short style note to the request (e.g. 'match a calm, professional support tone') and adjust based on real examples."
"5. Common challenges","Slower ticket logging","What it looks like: the AI call adds a pause before log_ticket finishes. How to handle it: this is expected, sampling is a real request to a model, not instant. If it becomes a problem, split 'save the ticket' and 'get the AI draft' into two separate steps so the ticket is saved immediately either way."
"6. Summary - benefits","Faster first responses","Agents start from a draft instead of a blank page, without losing the final decision on what actually gets sent."
"6. Summary - benefits","More consistent triage","Every incoming ticket gets an urgency suggestion using the same criteria, instead of depending on whichever agent happens to read it first."
"6. Summary - benefits","No separate AI subscription for this server to manage","It uses the AI connection the support team's application already has."
"6. Summary - benefits","The company keeps control","Which AI model is used, and whether a draft is trustworthy enough to act on, both stay decisions people make, not something the server decides on its own."
"6. Summary - benefits","The same pattern scales to other tasks","Once this works for urgency and drafting, the same approach (Step 1 through Step 6) applies to summarizing long ticket threads, suggesting knowledge-base articles, or flagging tickets that need a specialist, without redesigning anything."
