Section,Topic,Details
Overview,What is an MCP server?,"An MCP server is like a set of arms and legs attached to an AI assistant. It's a small program that says what specific things it can do and how to ask it to do them. MCP (Model Context Protocol) is the shared set of rules that lets any AI assistant talk to any MCP server consistently, the same way a standard electrical outlet lets any lamp plug into any wall socket."
Overview,The four parts,"1) Server setup - turning the assistant's tools on and telling it where to find them. 2) Tool definitions - the specific actions the assistant is allowed to take. 3) Resource management - the specific information the assistant is allowed to read. 4) Prompt handling - reusable pre-written instructions that guide the assistant on how to use tools and resources well."
Server Setup,What it is,"The installation and startup step. It tells the AI assistant that a server exists, gives it a name, explains how to launch/connect to it, and defines what it's allowed to touch. Like hiring a new employee: give them a name badge, tell them where their desk is, and give them a keycard scoped to the areas they can access."
Server Setup,Example,"{ ""name"": ""company-notes-server"", ""description"": ""Lets the assistant read and write internal team notes"", ""startCommand"": ""node notes-server.js"", ""environment"": { ""NOTES_FOLDER"": ""/company/shared/notes"" } } -- In plain English: there is a server called 'company-notes-server' whose job is to read and write internal team notes; to start it, run this program; the notes live in this specific folder."
Server Setup,Why it matters,"This section answers 'What is the AI assistant even connected to?' If something feels off, check here first - the AI may be pointed at the wrong folder, or the server may not have started at all."
Tool Definitions,What it is,"Tools are the specific actions the assistant is allowed to perform. Each tool has a name, a plain-language description of what it does, and a list of inputs it needs. Like buttons on a vending machine: each button does one thing, needs specific input, and produces a predictable output."
Tool Definitions,Example,"There is a tool called 'send_reminder'. It sends a reminder message to a person. It needs two pieces of information: who to send it to, and what the message says. { ""name"": ""send_reminder"", ""description"": ""Sends a reminder message to a specified person"", ""inputs"": { ""recipient"": ""the person's name or email"", ""message"": ""the text of the reminder"" } }"
Tool Definitions,Why it matters,"Good tool definitions are the difference between an assistant that does exactly what you expect and one that gets confused about when to act. A vague description invites mistakes; a precise one keeps behavior predictable."
Resource Management,What it is,"Resources are the information the assistant is allowed to look at, as opposed to tools, which are actions it can take. Resources are usually read-only. Like books on a shelf the assistant may browse but not rearrange or destroy."
Resource Management,Example,"There is a resource called 'q3-sales-report'. It points to a specific file. The assistant can read its contents when asked about Q3 sales, but cannot edit or delete the file. { ""name"": ""q3-sales-report"", ""description"": ""Quarterly sales figures for Q3"", ""location"": ""/reports/q3-sales.csv"", ""access"": ""read-only"" }"
Resource Management,Why it matters,"Resource management is about access control - deciding what the assistant is allowed to see. A well-managed set of resources means the assistant only has access to what it genuinely needs, the same way you wouldn't give a new intern a master key to every filing cabinet on day one."
Prompt Handling,What it is,"Reusable instruction templates the server offers so the assistant does a task well and consistently, instead of guessing how to phrase or approach something from scratch each time. Like a mail-merge letter template at a bank: fill in the blanks in a pre-approved template so every letter is consistent and correctly worded."
Prompt Handling,Example,"There is a prompt called 'weekly_summary'. It's a template for writing a weekly status update, filled in with this week's completed tasks and next week's priorities. { ""name"": ""weekly_summary"", ""description"": ""Template for generating a consistent weekly status update"", ""template"": ""Summarize the following completed tasks: {tasks}. Then list next week's priorities: {priorities}."" }"
Prompt Handling,Why it matters,"Prompt handling keeps the assistant's output consistent and on-brand across repeated use instead of reinventing wording every time. If output quality or consistency drops, a prompt template may have changed or been removed."
Troubleshooting,The assistant says it doesn't have a tool for that,"Likely cause: the tool isn't defined, or its description doesn't clearly match the request. What to check: Tool Definitions section - confirm the tool exists and its description covers the request in plain language."
Troubleshooting,The assistant can't find a file/report/data it should access,"Likely cause: the resource isn't registered, or its location/path is wrong. What to check: Resource Management section - confirm the resource is listed and its location matches where the file actually lives."
Troubleshooting,The assistant seems to ignore instructions it used to follow,"Likely cause: a prompt template was changed, removed, or is no longer applied. What to check: Prompt Handling section - confirm the relevant template still exists and matches expectations."
Troubleshooting,The assistant can't connect to the server / nothing works,"Likely cause: the server failed to start, or setup details (folder path, credential) are wrong or missing. What to check: Server Setup section - confirm the start command runs and required settings are present and correct."
Troubleshooting,The assistant did something it shouldn't (edited/deleted something read-only),"Likely cause: a resource was marked with the wrong access level. What to check: Resource Management section - confirm sensitive resources are marked read-only rather than editable."
Troubleshooting,The assistant asks for information it should already have,"Likely cause: a tool or resource is missing a required input, or wasn't given the data it needs. What to check: the inputs listed under the relevant tool, and confirm resources are correctly connected."
Troubleshooting,Everything worked yesterday but nothing works today,"Likely cause: the server may have restarted with a different configuration, or a credential expired. What to check: Server Setup first - this is the most common cause of a sudden total failure."
Troubleshooting,Answers feel inconsistent between team members making the same request,"Likely cause: different people word requests differently and no prompt template standardizes it. What to check: consider adding a Prompt Handling template for that recurring request."
Troubleshooting,Recommended diagnostic order,"1) Server setup - is the server running and reachable? 2) Resource management - can it see the information it needs? 3) Tool definitions - does it have a clearly-described action to act on that information? 4) Prompt handling - is the wording of the request or template the problem? Work top-down since a failure lower on the list can look identical to a failure higher up."
Glossary,MCP (Model Context Protocol),"The shared language that lets an AI assistant and a server understand each other, regardless of who built either one."
Glossary,Server,"The program that offers tools and resources to the assistant."
Glossary,Tool,"A specific action the assistant can take (e.g., send a message, create a ticket)."
Glossary,Resource,"A specific piece of information the assistant can read (e.g., a file, a report)."
Glossary,Prompt (template),"A reusable, pre-written set of instructions that guides the assistant toward a consistent, high-quality response."
Glossary,Access level,"A setting (like read-only) that controls what the assistant is allowed to do with a resource."
